"","Inducer","Concurrent","Comparison","Response.mean.mean","Response.mean.sd","Inducer2","Concurrent2","pValue","ZValue","effsize"
"145","Speed","Color RG","Color RG-Speed",0.466666666666667,0.516397779494322,"Fast/Slow","Red/Green",5.25957356193489e-07,-5.0165933180514,0.553990055809294
"146","Color RG","Speed","Color RG-Speed",0.456521739130435,0.474654024198412,"Red/Green","Fast/Slow",2.38078975793963e-12,-7.0101404686505,0.905005242988601
"147","Noise","Color RY","Color RY-Noise",0.657894736842105,0.442613186369925,"Noisy/Tonal","Red/Yellow",4.70190327990307e-13,-7.23364776597598,0.933859910998515
"148","Color RY","Noise","Color RY-Noise",0.375,0.482653649581711,"Red/Yellow","Noisy/Tonal",0.695118537566643,-0.391918358845308,0.0768615138264418
"149","Pitch","Color RY","Color RY-Pitch",0.416666666666667,0.456435464587638,"High Pitch/Low Pitch","Red/Yellow",0.0718896406795997,-1.79981635463912,0.323256559967688
"150","Color RY","Pitch","Color RY-Pitch",0.4,0.459468291736341,"Red/Yellow","High Pitch/Low Pitch",0.0682550672427295,-1.82331915211466,0.380188324642231
"151","Shape","Color RY","Color RY-Shape",0.666666666666667,0.485071250072666,"Jagged/Curvy","Red/Yellow",4.46466630032684e-05,-4.08201630849965,0.745270804089742
"152","Color RY","Shape","Color RY-Shape",0.833333333333333,0.325669473639465,"Red/Yellow","Jagged/Curvy",0.000448585454989333,-3.5097160525319,0.453102394045763
"153","Size","Color RY","Color RY-Size",0.552083333333333,0.466344134574299,"Large/Small","Red/Yellow",0.109847567072057,-1.59887865775678,0.176566610184584
"154","Color RY","Size","Color RY-Size",0.75,0.452267016866645,"Red/Yellow","Large/Small",0.699328483125915,-0.386227102576444,0.042651648348983
"155","Speed","Color RY","Color RY-Speed",0.45,0.483953020773494,"Fast/Slow","Red/Yellow",0.00233477414516272,-3.04397129794107,0.340326337187725
"156","Color RY","Speed","Color RY-Speed",0.5,0.480384461415261,"Red/Yellow","Fast/Slow",3.14178094659895e-15,-7.88514198045394,0.881585674026617
"157","Noise","Color YB","Color YB-Noise",0.416666666666667,0.47407538930794,"Noisy/Tonal","Yellow/Blue",0.382591512192767,-0.873131305499918,0.195238095238095
"158","Color YB","Noise","Color YB-Noise",0.464285714285714,0.498624481575437,"Yellow/Blue","Noisy/Tonal",0.960442234355918,-0.0495986350643442,0.00991972701286884
"159","Pitch","Color YB","Color YB-Pitch",0.566666666666667,0.457737708217063,"High Pitch/Low Pitch","Yellow/Blue",0.0771347416132032,-1.76755849649983,0.395238095238095
"160","Color YB","Pitch","Color YB-Pitch",0.766666666666667,0.371611676478603,"Yellow/Blue","High Pitch/Low Pitch",0.02182708220053,-2.29336356928101,0.458672713856203
"161","Shape","Color YB","Color YB-Shape",0.65625,0.473242362150023,"Jagged/Curvy","Yellow/Blue",0.0267757117000427,-2.21477209199979,0.495238095238095
"162","Color YB","Shape","Color YB-Shape",0.8125,0.35939764421413,"Yellow/Blue","Jagged/Curvy",0.062139516070177,-1.8652989227852,0.324706864135136
"163","Size","Color YB","Color YB-Size",0.653846153846154,0.473665466715671,"Large/Small","Yellow/Blue",0.00555335219386895,-2.77305038344397,0.482726110596976
"164","Color YB","Size","Color YB-Size",0.653846153846154,0.473665466715671,"Yellow/Blue","Large/Small",0.00151775687642731,-3.17126677623058,0.501421304045407
